Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20
,Hungary,47.1625,19.5033,12,17,7,21,10,0,5,2,5,4,5,8,8,2,5,8,10,8,16,8,7,7,5,7,10,12,27,97,65,36,28,10,48,43,84,14,1,11,2,3,73,89,20,19,75,9,5,4,14,11,14,43,6,14,32,4,94,6,90,4,49,97,80,94,2,96,41,14,7,0,55,9,17,2,3,0,1,3,2,1,14,3,95.0
Northern Territory,Australia,-12.4634,130.8456,57,74,18,35,39,84,63,67,99,100,98,64,75,57,65,47,27,23,67,93,94,97,92,96,72,42,9,18,19,31,18,11,48,44,47,44,27,46,60,80,78,83,56,62,37,14,36,38,73,73,85,69,25,15,6,9,96,100,99,97,71,92,63,66,17,36,84,97,99,12,10,12,18,28,40,37,18,67,41,32,47,28,35.0
,Liechtenstein,47.14,9.55,14,16,30,83,17,0,32,13,2,28,35,10,3,0,2,6,15,87,62,5,4,1,3,4,6,19,33,90,92,45,66,68,96,99,94,77,1,5,5,6,89,96,83,56,87,6,9,75,72,75,16,68,7,38,52,61,87,62,66,17,57,73,83,33,49,67,79,7,91,91,66,56,90,51,6,1,7,4,4,49,52,25,6.0
,Poland,51.9194,19.1451,21,9,12,89,32,12,7,56,90,77,55,9,19,1,3,5,5,31,2,7,9,28,10,6,16,17,22,57,90,90,86,93,91,90,91,64,50,56,2,6,94,92,65,28,75,9,6,9,54,64,78,90,9,98,87,94,87,56,66,19,55,85,74,28,10,72,82,56,11,46,92,74,38,28,2,0,5,5,6,47,20,35,3.0
,Tunisia,34.0,9.0,5,5,2,7,5,0,9,6,19,50,18,51,33,0,2,3,6,2,1,4,3,3,4,6,3,11,6,1,7,7,6,5,3,4,5,6,3,3,2,4,3,2,1,5,3,5,7,4,6,2,3,4,5,5,2,1,1,2,2,1,1,7,5,1,1,1,11,2,2,14,6,2,0,2,5,1,21,7,2,22,17,3,3.0
,Bosnia and Herzegovina,43.9159,17.6791,8,9,1,16,69,10,11,2,0,3,30,11,3,2,1,4,2,10,28,7,4,1,2,2,32,77,38,55,80,19,11,14,32,11,82,62,10,8,4,5,21,46,33,6,92,24,3,5,24,60,66,7,5,2,8,4,78,64,76,4,65,80,91,65,6,76,93,61,32,10,8,2,9,21,34,0,1,2,1,0,3,43,47.0
,Slovenia,46.1512,14.9955,11,11,1,19,12,0,7,2,1,5,8,7,3,0,2,6,7,35,6,8,5,1,4,2,25,49,27,81,66,24,8,10,7,12,84,12,2,3,3,6,68,62,39,12,56,6,4,6,82,39,11,5,3,3,9,31,93,12,46,4,90,90,93,61,3,92,32,5,8,4,8,6,72,47,3,0,1,3,2,1,82,34,3.0
,South Africa,-30.5595,22.9375,3,4,2,8,5,0,70,69,2,5,4,6,6,0,2,7,20,16,1,5,1,1,4,7,5,4,5,1,3,3,4,11,13,4,19,18,24,18,22,13,5,3,16,5,2,4,26,25,22,35,46,7,5,3,1,3,56,68,4,4,48,31,6,3,4,3,5,6,8,49,22,17,2,7,4,1,19,4,3,0,0,3,6.0
,Bhutan,27.5142,90.4336,5,28,57,71,39,1,16,39,45,8,3,5,6,5,4,6,34,28,22,15,11,9,19,11,1,27,41,45,23,36,27,33,22,26,25,38,24,16,12,8,13,9,9,5,14,20,16,44,48,60,60,24,60,36,34,33,61,19,8,21,33,56,60,55,38,44,45,26,24,42,46,17,15,66,30,12,32,43,45,57,52,41,73.0
,Cameroon,3.848,11.5021,8,10,2,7,5,6,8,9,2,15,32,18,7,4,13,8,35,12,35,9,5,3,4,2,1,3,6,4,8,6,35,13,17,41,28,52,25,11,7,37,9,3,9,9,7,8,12,32,37,10,11,18,25,27,23,8,33,34,31,15,32,34,46,70,51,72,51,12,26,21,35,43,45,47,9,27,32,27,48,84,63,61,77.0
,Colombia,4.5709,-74.2973,98,96,78,56,56,65,55,45,20,17,13,22,28,23,42,45,39,36,37,48,69,87,87,69,73,86,84,84,87,89,84,39,74,86,49,22,16,9,37,81,83,28,11,22,39,62,61,44,43,36,74,77,84,92,93,85,82,86,71,61,61,67,74,71,64,39,53,65,89,85,92,87,91,93,93,92,81,77,70,68,87,86,61.0
,Costa Rica,9.7489,-83.7534,53,42,79,86,70,64,47,37,63,52,53,73,68,79,75,68,73,78,87,86,90,80,86,82,77,85,81,90,85,91,73,43,59,79,71,60,69,55,45,60,60,46,66,68,45,42,36,56,70,62,61,66,64,37,17,32,47,55,40,28,56,28,17,45,27,21,26,39,39,28,26,24,57,69,56,49,34,25,28,27,37,41,40.0
,Peru,-9.19,-75.0152,74,97,94,77,89,80,71,81,56,28,47,47,64,38,63,93,78,93,95,68,71,62,90,96,85,72,15,21,81,98,73,83,95,33,93,74,93,95,91,75,96,96,95,69,59,78,79,77,51,51,49,32,75,98,37,64,80,94,98,77,91,97,26,68,80,40,74,30,84,78,85,65,61,55,55,64,92,98,71,49,95,100,100.0
,Serbia,44.0165,21.0059,14,21,0,21,87,10,8,0,0,2,4,15,3,0,2,5,5,3,19,16,5,1,6,2,4,7,96,7,79,30,7,8,24,28,74,97,17,18,14,3,14,100,52,9,88,31,4,5,7,3,85,23,24,3,28,3,76,89,90,5,2,22,65,98,3,52,86,95,30,98,10,6,4,8,7,0,1,1,0,0,1,8,26.0
,Slovakia,48.669,19.699,9,4,1,39,23,0,5,2,15,5,8,6,4,6,1,4,5,4,2,2,4,2,4,2,2,7,20,52,33,28,64,19,90,94,88,24,1,25,4,2,72,65,25,16,45,11,7,10,53,41,17,56,3,85,66,20,67,11,63,10,55,88,81,78,3,64,27,15,19,3,69,20,12,3,2,0,1,2,3,7,92,9,7.000000000000001
,Togo,8.6195,0.8248,4,5,3,6,4,0,5,3,1,4,35,17,6,0,1,3,5,3,1,2,5,2,3,2,3,3,5,3,5,2,5,4,3,4,5,3,1,2,3,5,6,3,4,1,1,2,1,5,9,2,6,6,6,4,3,4,1,8,8,6,11,30,40,18,14,19,14,19,54,37,67,12,49,67,5,8,10,15,39,18,30,74,73.0
,Malta,35.9375,14.3754,7,5,2,12,14,0,5,5,3,5,47,82,94,64,15,7,7,9,2,11,26,8,6,5,7,6,10,3,10,10,11,13,9,6,5,14,15,4,3,7,8,3,5,6,8,4,5,5,8,3,8,5,9,5,4,7,6,5,7,4,4,4,44,84,6,2,36,41,28,96,9,7,2,6,6,1,24,4,4,2,33,55,45.0
,Martinique,14.6415,-61.0242,17,25,49,57,51,69,41,20,33,52,49,65,81,90,90,65,40,35,48,12,16,24,76,36,19,26,15,14,12,36,21,14,27,27,23,26,22,35,41,83,84,40,71,84,50,53,50,41,54,34,63,40,20,21,31,78,38,36,14,28,19,18,17,35,33,14,24,13,23,21,35,28,28,34,45,22,15,18,15,23,60,82,84.0
,Bulgaria,42.7339,25.4858,15,18,1,12,55,49,12,2,0,5,7,66,3,0,2,7,5,4,6,16,6,1,5,2,2,5,28,19,13,44,7,12,5,11,20,69,63,44,23,7,12,75,16,10,13,69,11,11,7,49,94,74,57,5,7,3,4,75,64,35,2,6,6,44,89,2,8,85,94,46,28,7,2,69,98,0,2,7,3,2,3,90,98.0
,Maldives,3.2028,73.2207,12,20,81,61,56,51,47,56,27,22,9,50,84,11,11,8,8,22,67,89,34,52,57,83,67,7,9,4,10,9,8,6,30,17,14,21,6,9,4,17,19,8,39,84,87,81,36,50,83,11,11,65,99,71,30,20,22,6,15,4,6,5,25,12,4,3,8,5,6,5,7,8,59,41,15,11,19,47,30,63,26,16,8.0
,Bangladesh,23.685,90.3563,4,16,83,34,35,2,3,2,61,5,7,3,4,0,4,4,5,5,1,7,3,2,4,3,3,4,5,4,16,67,16,4,3,3,6,5,3,5,5,7,6,3,2,5,4,5,6,4,7,4,4,5,3,6,4,69,69,4,4,2,5,5,30,16,26,32,61,16,6,3,6,9,5,7,8,1,4,2,1,2,11,37,20.0
,Paraguay,-23.4425,-58.4438,47,35,9,4,7,14,54,95,38,20,51,79,77,91,37,18,56,85,41,20,10,57,84,42,11,4,4,11,12,79,97,19,15,35,62,18,55,26,68,37,51,62,7,24,20,21,26,17,24,26,41,62,32,11,3,8,65,86,2,3,4,3,6,3,2,5,1,9,16,17,3,6,11,10,14,7,5,17,40,93,22,1,1.0
Ontario,Canada,51.2538,-85.3232,17,10,20,20,15,16,20,21,12,32,16,10,12,11,47,14,12,19,40,9,9,7,15,13,12,12,13,12,9,8,5,12,41,32,26,15,16,7,7,5,14,9,20,14,5,7,28,8,21,22,8,7,9,9,12,15,14,14,23,19,7,38,45,40,35,11,6,11,48,43,10,8,50,91,10,9,47,20,6,48,22,7,6.0
Alberta,Canada,53.9333,-116.5765,13,15,13,23,13,6,15,14,13,8,8,13,8,16,8,8,10,14,10,8,3,9,16,10,16,11,2,7,12,16,9,28,27,23,15,14,28,23,14,18,28,10,68,8,50,20,27,13,25,13,4,9,10,18,12,18,9,23,14,18,57,13,35,41,30,13,21,21,13,8,14,45,23,16,14,5,4,11,17,14,4,18,8.0
Quebec,Canada,52.9399,-73.5491,12,17,17,18,15,13,2,9,12,6,17,10,7,7,5,12,9,17,14,10,19,20,20,22,7,13,25,6,5,5,5,5,11,21,28,37,10,22,6,7,16,11,27,33,6,6,20,22,6,30,23,8,19,35,7,34,12,9,11,27,8,7,21,23,6,11,4,12,5,6,12,16,8,43,37,8,7,38,19,6,50,12,6.0
,Albania,41.1533,20.1683,9,8,1,10,34,0,4,2,0,4,66,75,8,0,3,6,4,4,25,2,4,1,2,3,53,56,98,84,98,66,11,11,10,21,78,94,5,5,5,8,45,68,67,12,96,19,7,5,7,30,96,10,11,2,2,3,60,96,94,3,3,49,87,98,44,64,98,98,76,41,15,7,1,45,96,1,2,1,2,2,2,79,100.0
,Cyprus,35.1264,33.4299,46,95,98,68,25,89,96,88,59,11,4,10,7,25,10,88,99,40,78,37,9,3,28,18,3,3,8,82,22,34,9,6,3,5,9,51,63,25,30,7,5,70,71,55,8,19,12,5,38,77,5,93,46,20,77,6,3,3,18,73,28,4,5,1,4,22,1,4,5,3,4,71,99,65,7,5,62,1,23,7,49,1,1.0
,Brunei,4.5353,114.7277,81,57,80,84,53,49,62,72,57,92,96,99,97,94,88,96,95,71,81,36,14,17,7,16,38,92,79,53,76,61,18,23,25,52,65,56,23,18,77,97,83,15,63,52,73,83,78,76,51,72,25,8,8,11,13,22,80,85,77,66,30,65,97,99,100,90,21,9,52,79,57,65,28,54,28,30,23,18,17,82,95,76,88.0
Washington,US,47.4009,-121.4905,97,96,70,78,90,86,97,97,74,32,73,85,76,64,64,27,62,57,84,40,26,85,90,98,96,85,92,89,93,90,84,98,98,37,40,71,98,99,99,90,22,24,59,33,82,87,90,80,61,20,11,12,13,65,89,70,19,44,17,78,73,33,89,88,68,32,85,76,35,8,18,65,16,60,21,7,3,4,8,13,12,14,9.0
New York,US,42.1657,-74.9481,31,13,6,34,81,22,31,28,33,6,55,39,85,7,16,14,77,11,40,44,9,5,5,4,8,87,43,47,16,8,4,15,40,50,30,38,12,84,83,21,34,86,55,28,70,12,3,15,19,88,35,27,11,6,5,6,34,64,81,20,27,18,17,90,64,18,24,18,1,1,74,9,11,83,7,5,3,26,3,82,94,10,4.0
California,US,36.1162,-119.6816,11,10,9,11,11,16,11,18,14,81,12,12,9,9,8,9,83,25,12,14,17,28,21,12,19,14,44,12,12,13,12,10,12,11,8,6,8,9,6,6,6,3,2,5,5,10,10,14,7,7,8,8,9,81,11,8,5,5,4,3,7,15,5,2,3,6,8,18,17,10,90,88,16,25,37,59,100,40,17,74,18,78,91.0
Massachusetts,US,42.2302,-71.5301,75,23,8,18,79,83,28,11,25,5,15,25,88,12,19,18,70,8,48,46,7,3,5,7,8,93,53,32,23,6,2,6,48,27,14,17,70,90,74,8,15,95,88,13,91,10,3,8,7,90,30,12,7,4,2,3,72,65,92,7,9,7,11,70,78,8,27,15,3,3,14,14,6,93,5,2,4,68,1,97,45,5,3.0
Diamond Princess,US,35.4437,139.638,4,6,0,28,53,1,82,76,9,28,13,18,19,7,88,10,37,98,11,2,3,6,89,14,8,83,66,100,94,18,18,3,6,11,15,13,6,4,20,22,9,5,7,92,27,7,94,57,14,3,21,28,72,9,1,32,95,74,4,60,64,97,6,88,90,2,21,91,13,98,19,18,12,98,35,9,1,3,80,80,1,4,42.0
Grand Princess,US,37.6489,-122.6655,11,22,9,11,36,14,8,28,30,59,12,38,27,37,42,14,94,22,11,7,11,81,26,24,40,70,84,23,33,14,19,11,13,13,12,9,14,16,14,12,6,5,8,11,14,11,17,15,15,11,15,17,13,23,16,22,11,8,10,7,11,26,8,8,7,12,14,87,25,25,16,17,18,13,99,95,89,71,61,35,21,32,66.0
Georgia,US,33.0406,-83.6431,3,1,83,90,80,6,5,12,4,8,22,87,81,97,78,31,77,3,73,76,3,5,2,63,97,11,10,55,11,30,20,95,37,10,8,17,91,100,51,43,9,34,76,34,78,7,5,96,15,98,97,98,22,5,8,96,97,18,6,6,6,3,78,96,99,98,12,3,4,9,28,17,46,30,28,40,39,40,46,12,11,13,90.0
Colorado,US,39.0598,-105.3111,7,8,9,13,12,12,7,12,6,12,15,12,8,11,4,7,10,13,10,5,3,13,7,11,9,10,7,53,17,30,20,8,6,4,30,24,16,20,38,20,27,31,22,25,17,9,11,16,17,35,27,21,8,12,56,23,34,11,10,4,4,24,30,11,3,4,4,6,23,32,5,10,10,38,10,10,4,9,3,79,28,43,16.0
Florida,US,27.7663,-81.6868,10,17,10,13,62,6,4,8,7,9,19,21,28,21,30,25,18,24,13,55,26,5,13,36,57,14,9,27,10,50,45,28,94,11,9,9,19,51,81,9,10,11,16,17,17,62,24,61,25,18,34,42,57,15,15,14,13,82,28,2,8,8,11,9,9,17,15,5,9,14,19,14,19,11,10,10,12,14,10,9,8,9,8.0
New Jersey,US,40.2989,-74.521,43,15,6,88,97,54,17,43,25,7,19,25,77,13,50,12,79,6,71,65,5,2,4,6,11,98,22,28,19,5,3,56,65,84,20,45,79,99,92,10,13,97,100,48,97,13,3,9,9,41,16,9,8,3,3,7,84,43,90,8,8,8,11,86,46,9,98,64,4,1,35,13,45,94,6,19,5,74,4,97,54,12,2.0
Oregon,US,44.572,-122.0709,86,97,52,19,88,86,89,84,87,46,88,89,81,83,73,61,72,67,86,21,8,86,89,92,92,90,97,91,97,87,47,72,95,49,40,45,93,95,93,85,17,8,17,9,52,65,92,91,56,25,11,8,9,10,95,32,7,20,5,49,75,17,35,53,30,9,56,69,28,25,5,12,2,66,66,14,9,6,21,10,14,7,3.0
Texas,US,31.0545,-97.5635,3,10,33,9,9,5,3,5,3,22,90,45,5,14,13,21,87,95,54,2,5,26,98,27,9,20,20,13,95,12,13,15,8,8,35,27,33,24,3,7,70,89,99,98,9,10,7,12,16,32,96,96,12,11,22,19,19,8,3,1,3,8,23,21,99,8,5,9,10,47,15,10,19,30,35,43,79,56,53,59,97,92,50.0
Illinois,US,40.3495,-88.9861,13,5,11,24,59,7,5,12,4,39,97,98,9,14,13,12,7,67,92,11,13,7,16,88,78,47,12,17,9,11,17,45,54,11,13,32,40,25,17,43,97,11,15,75,31,4,9,16,97,36,9,11,7,4,6,98,94,56,25,30,6,62,84,20,9,7,9,3,3,99,91,15,63,8,79,8,65,6,93,96,44,12,73.0
Pennsylvania,US,40.5908,-77.2098,44,21,8,88,91,20,10,64,28,6,28,35,82,9,41,15,48,8,70,38,9,6,4,8,28,96,22,33,21,4,4,12,40,56,12,75,61,83,92,17,27,94,74,67,81,11,3,12,10,79,16,14,5,3,4,4,46,76,88,7,15,6,67,90,21,6,56,15,2,1,64,8,13,90,10,38,2,47,73,97,82,7,3.0
Iowa,US,42.0115,-93.2105,14,7,15,64,34,11,8,12,3,7,50,11,25,35,14,11,11,63,28,13,16,9,72,42,55,14,13,21,8,12,10,59,20,12,24,11,15,8,25,6,42,6,11,43,5,4,16,22,78,27,16,9,11,9,10,24,20,19,22,17,6,7,13,20,19,11,4,2,5,98,13,16,35,4,50,9,13,9,97,97,88,16,41.0
Maryland,US,39.0639,-76.8021,24,9,7,96,98,16,4,86,49,8,18,24,84,12,77,12,16,5,93,71,6,2,4,6,35,99,14,18,13,5,4,52,87,57,9,70,83,99,97,7,10,98,99,75,90,9,2,7,10,31,56,13,7,2,3,12,94,71,91,11,5,4,72,79,11,3,78,56,3,0,54,11,21,96,62,91,5,33,62,97,50,80,6.0
North Carolina,US,35.6301,-79.8064,5,6,76,88,92,8,3,73,3,5,16,70,87,99,97,27,14,1,76,68,6,3,2,6,99,91,8,60,14,10,19,98,66,8,9,21,79,99,87,14,12,34,96,46,77,9,5,35,21,73,87,79,25,4,6,92,95,46,22,17,7,3,10,90,5,70,25,7,2,5,49,24,17,64,11,37,6,83,18,70,17,84,44.0
South Carolina,US,33.8569,-80.945,4,3,28,79,93,9,2,22,4,5,25,57,99,84,52,28,61,3,48,84,4,5,3,12,100,62,11,47,14,45,46,98,35,9,8,13,73,99,75,16,10,17,57,35,66,10,8,96,27,94,97,99,39,4,6,95,97,42,7,5,6,4,70,98,93,99,16,5,3,10,37,15,48,51,35,32,17,71,24,36,10,9,78.0
Tennessee,US,35.7478,-86.6923,7,3,97,97,79,7,30,39,5,6,79,94,9,33,92,88,27,16,86,3,8,4,3,96,94,25,34,78,22,38,43,52,66,8,11,97,100,97,49,17,12,99,97,98,94,5,5,11,11,98,17,84,6,3,25,96,56,79,11,63,20,9,96,80,5,6,9,4,2,9,93,35,87,76,75,71,57,97,90,72,100,17,39.0
Virginia,US,37.7693,-78.17,9,8,11,92,91,22,2,82,5,7,13,37,62,15,85,20,11,4,88,9,6,3,3,3,85,98,12,15,13,7,10,45,25,12,9,33,95,99,89,6,10,94,98,42,88,10,3,7,10,50,81,41,11,3,3,24,92,78,60,12,7,4,17,63,3,4,41,8,1,1,42,22,15,89,15,54,7,28,55,84,17,94,4.0
Arizona,US,33.7298,-111.4312,10,7,10,5,5,9,6,9,2,17,17,6,7,7,6,8,25,12,5,4,6,83,28,9,7,6,7,15,3,14,2,1,5,8,9,5,5,5,5,5,5,78,93,9,4,6,6,6,8,9,8,7,7,97,73,16,1,1,1,1,2,5,14,10,3,2,3,5,8,7,72,97,94,93,22,7,4,9,93,81,7,3,4.0
Indiana,US,39.8494,-86.2583,26,6,25,96,71,8,4,8,5,64,100,99,57,16,9,26,8,32,96,27,11,6,3,75,91,77,19,16,12,8,8,28,54,7,11,96,74,20,37,54,97,98,16,75,66,19,27,16,76,73,9,13,4,4,2,97,92,71,26,32,8,8,98,90,7,5,35,4,1,55,97,13,80,47,82,11,22,9,98,98,88,8,77.0
Kentucky,US,37.6681,-84.6701,13,6,83,98,88,11,6,37,6,4,55,89,26,9,87,59,10,5,94,6,9,5,2,86,99,38,14,35,10,21,17,92,87,7,36,99,96,86,47,50,23,100,96,96,90,3,5,16,9,96,14,27,4,3,3,95,90,84,14,26,14,3,96,96,4,5,17,5,1,6,89,13,92,85,91,44,50,83,96,94,92,8,45.0
District of Columbia,US,38.8974,-77.0268,24,9,8,95,96,17,4,83,13,7,18,27,78,12,63,14,16,6,88,42,6,3,4,6,45,98,15,19,18,8,5,24,77,35,9,69,90,99,96,27,28,98,100,68,90,9,24,7,27,33,52,15,25,24,24,31,91,57,90,12,24,25,69,72,10,3,64,13,23,22,71,28,23,94,56,88,5,51,55,97,47,85,5.0
Nevada,US,38.3135,-117.0554,17,26,14,9,9,11,6,8,11,15,7,8,9,7,5,5,15,12,3,3,3,11,8,5,7,7,20,11,5,7,8,5,5,5,8,5,8,10,3,4,5,3,4,3,3,5,4,9,8,6,7,4,6,68,7,5,1,1,1,2,2,40,3,4,1,1,1,8,14,7,10,39,9,36,42,19,28,44,12,27,28,9,6.0
New Hampshire,US,43.4525,-71.5639,54,40,17,23,83,63,28,23,52,7,18,33,68,16,31,38,78,10,43,50,7,5,6,11,15,78,72,34,28,5,2,2,28,17,14,12,8,56,56,24,21,78,51,25,65,6,2,8,11,66,40,16,6,12,14,5,19,45,84,11,28,9,15,67,45,13,28,5,2,3,41,27,5,96,4,3,2,36,3,74,69,16,1.0
Minnesota,US,45.6945,-93.9002,4,7,21,15,13,16,4,7,5,5,6,9,17,26,15,45,12,49,38,15,17,8,18,42,19,12,7,10,5,5,8,42,30,15,8,6,8,9,14,5,28,8,12,17,5,4,20,7,35,12,11,7,13,13,19,22,17,13,13,6,10,18,19,41,8,48,6,6,8,6,18,13,83,11,7,9,26,11,27,73,8,9,38.0
Nebraska,US,41.1254,-98.2681,10,8,16,14,9,10,8,6,4,7,11,7,16,11,5,5,9,56,12,8,10,26,57,75,14,17,13,15,47,22,35,20,10,9,12,6,16,7,13,7,9,4,10,18,4,5,6,7,18,17,19,9,11,5,6,10,35,8,19,4,4,4,12,7,3,4,3,3,11,81,23,13,21,48,77,15,11,30,38,97,23,10,14.000000000000002
Ohio,US,40.3888,-82.7649,35,11,35,97,89,19,8,8,7,4,99,96,76,12,7,27,27,11,85,19,9,5,3,14,94,90,28,23,18,8,4,31,53,16,10,92,49,59,40,49,72,98,24,54,73,13,6,20,18,83,16,14,8,4,3,73,90,81,47,22,18,5,87,91,20,4,70,5,1,5,96,21,25,79,56,23,36,28,94,95,95,9,42.0
Rhode Island,US,41.6809,-71.5118,76,25,8,28,88,88,28,25,57,4,24,31,84,15,24,21,76,8,64,74,7,3,5,9,9,92,43,30,21,6,1,11,64,41,17,22,81,98,90,7,18,95,99,13,96,12,3,9,6,84,28,8,7,3,3,7,59,66,92,8,7,6,11,70,75,8,55,41,4,4,11,15,11,95,2,6,5,91,2,98,44,9,3.0
Wisconsin,US,44.2685,-89.6165,18,7,22,15,10,18,4,14,5,28,17,21,28,42,36,20,11,40,54,14,12,6,51,71,62,52,14,16,5,5,6,21,22,13,20,5,5,8,12,14,66,6,14,42,10,4,21,6,65,52,9,9,9,16,11,25,20,24,17,7,5,12,26,43,6,75,7,3,5,95,10,61,95,15,7,6,12,7,49,94,76,5,15.0
Connecticut,US,41.5978,-72.7554,71,25,9,36,92,78,30,32,37,4,24,32,80,15,18,19,80,8,48,54,7,4,7,10,9,95,33,31,23,7,1,20,53,33,25,28,65,95,85,10,25,97,96,16,95,9,3,9,7,87,36,12,6,4,2,5,64,71,91,7,10,6,12,67,67,9,34,11,3,3,42,21,16,97,3,5,3,75,4,95,52,7,2.0
Hawaii,US,21.0943,-157.4983,6,7,19,36,35,17,9,13,18,25,82,97,98,52,4,22,16,41,11,9,16,8,4,8,8,9,12,8,8,10,10,26,35,31,15,14,41,99,41,35,35,91,72,52,30,21,13,8,14,10,20,16,9,11,16,19,19,11,15,16,41,50,55,16,21,43,34,21,12,19,11,36,86,61,28,73,84,94,78,81,19,15,9.0
Oklahoma,US,35.5653,-96.9289,2,4,7,10,9,5,2,7,2,22,86,28,6,11,13,12,83,97,18,4,6,31,91,31,11,17,15,10,98,50,9,11,5,7,10,54,70,10,6,5,47,66,33,97,7,4,6,13,12,9,10,25,5,7,80,61,36,47,5,3,1,6,10,5,4,2,4,2,71,72,7,14,10,91,95,14,82,85,87,95,6,44,91.0
Utah,US,40.15,-111.8624,18,69,43,24,13,21,16,12,46,36,21,33,41,39,28,12,8,53,15,5,5,57,55,37,60,34,45,74,22,50,49,28,10,6,45,15,22,84,67,11,14,13,15,9,12,5,11,77,35,17,16,7,4,7,9,19,9,3,2,2,5,45,11,7,3,3,2,7,28,8,6,12,7,60,24,9,5,4,48,56,51,16,7.000000000000001
,Burkina Faso,12.2383,-1.5616,2,2,3,5,3,0,2,3,1,5,5,5,4,0,1,3,5,2,1,2,5,3,5,3,3,2,4,1,5,3,4,5,3,4,5,6,2,5,2,5,6,3,4,1,2,2,3,5,6,2,4,5,6,4,4,3,5,3,2,2,2,1,1,2,2,1,2,5,6,2,7,4,0,3,5,0,6,9,20,8,4,2,6.0
,Holy See,41.9029,12.4534,5,6,2,8,5,0,4,4,2,5,4,7,4,2,1,5,6,97,23,11,6,3,5,20,82,35,16,56,19,8,12,18,28,7,19,17,2,2,2,12,33,6,5,10,74,2,5,5,7,39,8,3,8,5,5,8,53,47,56,3,82,97,79,13,25,94,69,8,38,5,4,6,4,26,6,0,4,2,1,2,6,24,8.0
,Mongolia,46.8625,103.8467,4,5,0,4,10,1,7,4,2,7,14,3,3,0,2,3,4,4,1,0,6,1,2,2,1,1,1,1,4,6,5,4,1,1,1,2,2,3,2,2,2,2,19,26,5,1,2,3,7,5,25,6,4,3,48,24,17,10,14,19,13,18,8,1,2,1,2,21,3,1,32,5,1,3,2,0,2,5,4,14,2,1,1.0
,Panama,8.538,-80.7821,93,64,59,38,26,60,39,47,56,54,40,44,43,52,62,60,61,56,56,56,67,56,69,85,56,45,37,43,59,65,26,26,46,73,47,57,40,19,25,35,40,38,48,44,31,30,37,41,55,54,51,50,53,43,26,18,16,33,33,28,43,19,22,25,17,23,33,37,42,37,36,33,33,19,21,34,19,19,28,28,36,48,54.0
Kansas,US,38.5266,-96.7265,3,3,8,9,5,5,4,6,2,4,84,16,11,16,15,13,9,80,21,4,7,10,84,64,21,13,10,14,63,21,20,12,4,7,9,20,16,8,7,3,9,5,8,88,4,5,11,14,16,10,18,21,8,2,86,97,77,12,25,3,3,6,7,5,2,3,4,3,77,99,14,70,17,22,75,21,64,25,66,85,7,4,95.0
Louisiana,US,31.1695,-91.8678,4,17,100,93,15,8,8,11,3,18,92,95,11,96,99,28,73,37,97,5,7,5,77,97,16,12,98,21,46,91,30,52,18,8,17,63,96,86,7,17,31,98,86,97,56,11,11,85,37,64,91,99,11,7,18,92,14,49,5,4,5,10,57,60,98,59,5,3,6,63,85,17,10,16,12,19,10,81,32,20,92,59,91.0
Missouri,US,38.4561,-92.2884,5,3,11,24,13,5,4,7,3,68,98,84,7,16,14,9,7,91,92,5,19,12,75,92,80,14,11,23,17,63,14,28,11,7,10,64,56,19,26,7,97,54,28,95,25,8,9,10,81,21,10,10,4,3,74,100,83,43,7,23,4,40,39,7,5,5,4,3,5,99,21,16,56,7,80,8,74,14,96,98,19,5,92.0
Vermont,US,44.0459,-72.7107,53,37,11,19,70,28,37,22,50,10,34,87,92,15,31,43,77,16,39,43,10,7,8,6,7,78,77,50,25,8,4,5,26,23,30,22,9,48,55,18,16,75,52,18,65,8,4,17,21,56,32,25,5,9,8,8,35,60,85,24,28,14,28,71,83,26,34,24,5,3,85,22,8,91,10,7,4,41,5,39,78,16,3.0
Alaska,US,61.3707,-152.4044,53,36,27,17,12,11,7,7,8,6,9,10,32,13,6,10,8,12,9,11,41,25,19,19,16,10,12,23,27,34,30,22,7,27,30,21,24,19,42,52,31,9,12,33,6,7,12,17,60,63,41,53,38,33,16,18,22,27,18,13,34,45,24,14,16,12,9,36,36,27,11,17,8,6,4,2,6,46,11,36,18,38,12.0
